date,order_update,transaction_cancel,stock_status_update,order_delete,order_new,market_quote,transaction
20160610,41207.5,0,25238.5,8060,9957.5,4569803,483929
20160613,51574,0,24923.5,11666.5,16720.5,5934164,541457.5
20160614,54882,0,24839.5,7654.5,11540,5326739,457671
20160615,75627.5,0,24881.5,9687.5,13851.5,6337177.5,487018.5
20160616,72487.5,0,24832.5,11099.5,14610,6130334.5,530671.5
20160617,71142,0,24825.5,11932,15163.5,5438493.5,510633.5
20160620,61218,0,25126.5,10831,14061.5,5912220.5,444597.5
20160621,61666.5,0,25151,9049.5,12090,5530921.5,482567
20160622,52110,0,25259.5,9098.5,12554.5,6025609.5,486891.5
20160623,71285.5,0,25378.5,10378.5,13885.5,5282474.5,407670.5
20160624,118174.5,0,25011,19536.5,21750.5,17555909,713664.5
20160627,86936,0,24346,12366.5,14701,6986903.5,466020.5
20160628,69857,0,24255,11073,13546,6191608.5,490479
20160629,62957,0,24031,11198,14315.5,5588540,479058.5
20160630,68101,0,24188.5,14572,18528.5,6302155.5,572161
20160704,64076,0,24286.5,12853,16801.5,5970281.5,553991.5
20160705,79239.5,0,24304,11126,15115,5455071,436709.5
20160706,83788,0,24339,12405,15938.5,5938661,503331
20160707,79086.5,0,24398.5,12264.5,15896,5403896.5,425512
20160708,71055,0,24486,10897,14582,5216887.5,396006
20160711,65296.5,0,24773,15959.5,20535.5,5448498,462932.5
20160712,60593,0,24941,10328.5,14417.5,5979872,574949.5
20160713,61341.5,0,24906,12549,17586.5,5672377.5,555537
20160714,60887.5,0,24906,14104.5,17174.5,5621934.5,480221
20160715,73521.5,0,24969,11901.5,15189,6286753.5,583339
20160718,69104.5,0,24916.5,12785.5,16608,5638213,454487.5
20160719,52883,0,24979.5,7525,9940.5,4966982,459854.5
20160720,59174.5,0,25116,7058.5,10510.5,4671015.5,495269
20160721,51206,0,25294.5,5642.5,8863.5,4613835,524220.5
20160722,51499,0,25245.5,5108,7851.5,4362132,453521.5
20160725,44204,0,32355,5543,9851,4457408.5,400056.5
20160726,48460.5,0,32485.5,3964,8575.5,5645693,548479.5
20160727,62959.5,0,32287.5,8487,12883,6100636,521159.5
20160728,66508.5,0,39231,6103,11585,5372887.5,498605
20160729,76338,0,38871,6237.5,10271,6808305,563273
